NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원)
10725,서울특별시 은평구 응암동,109-15,109,15,동인에버빌,월세,16.93,202410,18,"13,490",15,7,2019,은평로8길 9-1,202411~202611,신규,-,,
10732,서울특별시 성북구 장위동,50-39,50,39,라테라스,월세,29.72,202410,18,"3,000",140,6,2024,화랑로35길 10,202411~202611,신규,-,,
10745,서울특별시 광진구 구의동,598-2,598,2,평강오피스텔,월세,26.52,202410,18,"1,000",55,2,2003,구의강변로 27,202411~202611,신규,-,,
10749,서울특별시 은평구 불광동,281-41,281,41,샹그리라,월세,15.83,202410,18,"11,300",8,4,2020,불광로 48-5,202410~202606,신규,-,,
10755,서울특별시 성동구 금호동4가,1028,1028,0,재호예향빌,월세,24.48,202410,18,"1,000",60,5,2003,독서당로 265,202412~202612,신규,-,,
10762,서울특별시 성북구 보문동2가,111,111,0,이-파크,월세,24.94,202410,18,"1,000",65,3,2002,지봉로24길 5,202410~202610,신규,-,,
10773,서울특별시 중구 충무로5가,36-19,36,19,이지마루 충무로,전세,36.48,202410,18,"28,850",0,2,2020,퇴계로49길 26,202411~202611,신규,-,,
10839,서울특별시 영등포구 영등포동1가,27-3,27,3,금반석 시티빌 8차,월세,15.58,202410,18,"1,000",60,9,2014,경인로114길 16,202411~202511,신규,-,,
10856,서울특별시 강남구 논현동,209,209,0,삼환 아르누보 3,월세,22.09,202410,18,"1,000",85,7,2005,학동로 224,202411~202511,신규,-,,
10857,서울특별시 영등포구 양평동6가,83,83,0,엠케이빌딩2,전세,29.93,202410,18,"35,000",0,13,2021,양평로30나길 2,202412~202606,신규,-,,
10860,서울특별시 서초구 서초동,1699-2,1699,2,엘루크 반포,월세,33.12,202410,18,"5,000",250,9,2023,서초대로51길 31,202410~202501,신규,-,,
10870,서울특별시 영등포구 양평동2가,May-43,43,5,동서네모베네하우스,월세,23.98,202410,18,"20,000",4,12,2019,선유서로25길 32,202411~202611,신규,-,,
10871,서울특별시 서초구 방배동,980-32,980,32,방배오피스텔,전세,35.2,202410,18,"16,000",0,4,1988,효령로 53,202411~202611,신규,-,,
10874,서울특별시 관악구 봉천동,866-7,866,7,카카오티,월세,35.4,202410,18,"5,000",68,5,2017,관악로13길 20,202411~202511,신규,-,,
10877,서울특별시 영등포구 당산동3가,395-37,395,37,현대하이츠,월세,41.94,202410,18,"26,000",6,3,2017,당산로31길 16-10,202411~202610,신규,-,,
10879,서울특별시 관악구 신림동,1431-38,1431,38,신림오피스텔,전세,29.7,202410,18,"12,000",0,6,1998,신림동1길 7,202411~202611,신규,-,,
10907,서울특별시 서초구 방배동,1031-2,1031,2,방배홈스텔,전세,32.13,202410,17,"19,000",0,5,2002,방배로 41,202411~202611,신규,-,,
10918,서울특별시 관악구 신림동,1463-35,1463,35,리츠 오피스텔 & 도시형생활주택,월세,22.24,202410,17,"12,600",3,3,2014,관천로10길 11-4,202410~202610,신규,-,,
10948,서울특별시 은평구 신사동,29-124,29,124,초원그린빌,월세,30.24,202410,17,"1,000",60,3,2013,증산로21길 44,202411~202611,신규,-,,
10950,서울특별시 은평구 응암동,603-52,603,52,(603-52),월세,21.44,202410,17,500,45,5,2003,응암로 152,202410~202610,신규,-,,
