NO,시군구,도로명,위도,경도,bus_count
2347,서울특별시 영등포구 당산동,국회대로55길 18,37.5267636886848,126.908112760303,5
2348,서울특별시 영등포구 당산동,국회대로55길 10,37.5260390186471,126.908352011703,6
2349,서울특별시 강남구 삼성동,영동대로 647,37.5196502832593,127.056618794604,5
2353,서울특별시 동작구 사당동,동작대로17길 6-6,37.4830649532354,126.981286988405,3
2354,서울특별시 영등포구 당산동2가,영등포로22길 3,37.5210570696937,126.894187393984,5
2357,서울특별시 송파구 방이동,백제고분로 497,37.5148889925719,127.114590891857,3
2371,서울특별시 송파구 방이동,오금로11길 59,37.5152841564781,127.11358151346,4
2374,서울특별시 용산구 문배동,청파로 205-6,37.5382273434203,126.970347819449,7
2378,서울특별시 도봉구 창동,도봉로106길 71,37.6450056385466,127.036662404652,0
2379,서울특별시 광진구 중곡동,천호대로109길 9,37.5573491089665,127.080791527536,4
2383,서울특별시 동대문구 신설동,청계천로 425,37.5717787449464,127.024742720051,0
2386,서울특별시 동대문구 신설동,왕산로 18,37.5760627896702,127.025612642763,9
2394,서울특별시 도봉구 창동,마들로11가길 6-25,37.6522203633914,127.049035628214,1
2396,서울특별시 중구 중림동,청파로 454,37.5600866435418,126.968580675384,4
2397,서울특별시 광진구 화양동,광나루로 374,37.5475204778244,127.071286115641,6
2406,서울특별시 용산구 문배동,청파로 201-17,37.5377859849357,126.969450401785,6
2407,서울특별시 종로구 내수동,새문안로3길 36,37.5734318183566,126.973272779932,3
